"apgcode","occurrences"
"gun_5443","26732"
"gun_3251","26730"
"gun_7591","26727"
"gun_5741","26712"
"gun_5749","26712"
"gun_4463","26702"
"gun_5639","26702"
"gun_4447","26690"
"gun_7963","26640"
"gun_5387","26568"
"gun_3389","26560"
"gun_7583","26550"
"gun_2129","26533"
"gun_3257","26533"
"gun_3271","26533"
"gun_4337","26533"
"gun_5393","26533"
"gun_5417","26533"
"gun_5449","26533"
"gun_5591","26520"
"gun_7703","26492"
"gun_7817","26460"
"gun_7877","26460"
"gun_4259","26406"
"gun_4283","26406"
"gun_5347","26406"
"gun_2099","26404"
"gun_3203","26404"
"gun_3373","26394"
"gun_4549","26386"
"gun_5717","26386"
"gun_4423","26364"
"gun_7649","26344"
"gun_7829","26313"
"gun_7867","26313"
"gun_7907","26280"
"gun_7949","26245"
"gun_4219","26243"
"gun_4243","26243"
"gun_5323","26243"
"gun_4517","26219"
"gun_5693","26219"
"gun_5701","26219"
"gun_2113","26208"
"gun_3217","26208"
"gun_4289","26208"
"gun_5297","26208"
"gun_5441","26208"
"gun_5503","26180"
"gun_7607","26166"
"gun_7681","26166"
"gun_7901","26100"
"gun_4211","26082"
"gun_2083","26080"
"gun_7933","26064"
"gun_2087","26040"
"gun_4391","26040"
"gun_5527","26026"
"gun_7559","26019"
"gun_7673","25988"
"gun_7753","25955"
"gun_5227","25920"
"gun_7853","25920"
"gun_2399","25917"
"gun_3163","25917"
"gun_4493","25896"
"gun_5653","25896"
"gun_5669","25896"
"gun_2089","25885"
"gun_3169","25885"
"gun_3209","25885"
"gun_4217","25885"
"gun_4241","25885"
"gun_4297","25885"
"gun_5233","25885"
"gun_5519","25872"
"gun_5471","25857"
"gun_7723","25810"
"gun_5051","25748"
"gun_7883","25740"
"gun_7537","25665"
"gun_7577","25665"
"gun_7717","25632"
"gun_4139","25599"
"gun_7757","25597"
"gun_2383","25596"
"gun_4099","25596"
"gun_4987","25584"
"gun_2081","25564"
"gun_3137","25564"
"gun_4273","25564"
"gun_5281","25564"
"gun_5479","25551"
"gun_2437","25536"
"gun_5407","25536"
"gun_5431","25536"
"gun_7529","25488"
"gun_7589","25488"
"gun_7669","25454"
"gun_4091","25438"
"gun_3083","25434"
"gun_4027","25434"
"gun_4051","25434"
"gun_5011","25428"
"gun_7789","25418"
"gun_5573","25410"
"gun_5581","25410"
"gun_4327","25384"
"gun_7561","25311"
"gun_7621","25311"
"gun_8719","25284"
"gun_4019","25277"
"gun_5059","25277"
"gun_3067","25272"
"gun_4003","25272"
"gun_5003","25272"
"gun_5009","25265"
"gun_4073","25256"
"gun_3121","25245"
"gun_4201","25245"
"gun_4421","25245"
"gun_5273","25245"
"gun_5557","25245"
"gun_7741","25239"
"gun_3191","25232"
"gun_5399","25217"
"gun_7573","25134"
"gun_2027","25116"
"gun_3019","25110"
"gun_3931","25110"
"gun_3301","25102"
"gun_4049","25102"
"gun_3089","25092"
"gun_5153","25092"
"gun_5179","25026"
"gun_2351","24960"
"gun_2003","24955"
"gun_2011","24955"
"gun_3011","24955"
"gun_3923","24955"
"gun_3947","24955"
"gun_4931","24955"
"gun_3907","24948"
"gun_4001","24948"
"gun_4969","24948"
"gun_2141","24939"
"gun_3041","24939"
"gun_4787","24939"
"gun_4153","24928"
"gun_4177","24928"
"gun_4397","24928"
"gun_5209","24928"
"gun_5501","24928"
"gun_3167","24900"
"gun_5279","24900"
"gun_5303","24900"
"gun_4817","24800"
"gun_1987","24794"
"gun_3929","24794"
"gun_4937","24794"
"gun_2971","24786"
"gun_4129","24776"
"gun_4723","24776"
"gun_5477","24776"
"gun_4373","24764"
"gun_4271","24750"
"gun_5171","24704"
"gun_4721","24645"
"gun_1979","24633"
"gun_2963","24633"
"gun_3851","24633"
"gun_4993","24633"
"gun_2939","24624"
"gun_3049","24624"
"gun_4057","24624"
"gun_5081","24624"
"gun_5113","24624"
"gun_4357","24613"
"gun_4691","24613"
"gun_5437","24613"
"gun_7549","24603"
"gun_1877","24585"
"gun_2039","24585"
"gun_3119","24585"
"gun_4231","24585"
"gun_5351","24585"
"gun_4657","24490"
"gun_3881","24480"
"gun_3001","24472"
"gun_3779","24472"
"gun_3803","24472"
"gun_3253","24462"
"gun_3739","24462"
"gun_4651","24462"
"gun_5381","24462"
"gun_5413","24462"
"gun_4349","24450"
"gun_5119","24436"
"gun_2579","24360"
"gun_2969","24320"
"gun_4643","24311"
"gun_5087","24287"
"gun_4159","24272"
"gun_5231","24272"
"gun_4649","24178"
"gun_2897","24174"
"gun_4801","24174"
"gun_2953","24168"
"gun_4889","24168"
"gun_1931","24150"
"gun_2851","24150"
"gun_3221","24150"
"gun_3229","24150"
"gun_2843","24138"
"gun_5023","24138"
"gun_3889","24016"
"gun_4261","23989"
"gun_5309","23989"
"gun_2389","23976"
"gun_3079","23961"
"gun_4111","23961"
"gun_5167","23961"
"gun_2833","23868"
"gun_4673","23868"
"gun_4793","23864"
"gun_2381","23828"
"gun_4229","23828"
"gun_4253","23828"
"gun_5333","23828"
"gun_7699","23828"
"gun_3023","23814"
"gun_5147","23750"
"gun_2287","23712"
"gun_2857","23712"
"gun_4729","23712"
"gun_4799","23691"
"gun_4831","23691"
"gun_5189","23691"
"gun_3181","23680"
"gun_4919","23680"
"gun_4951","23680"
"gun_7691","23680"
"gun_5039","23667"
"gun_4127","23652"
"gun_3967","23520"
"gun_5237","23520"
"gun_4079","23506"
"gun_4703","23393"
"gun_2357","23384"
"gun_4093","23384"
"gun_2927","23373"
"gun_3919","23373"
"gun_3943","23373"
"gun_4133","23373"
"gun_4157","23373"
"gun_4943","23373"
"gun_2999","23360"
"gun_4007","23360"
"gun_5261","23360"
"gun_9901","23309"
"gun_4639","23244"
"gun_4759","23236"
"gun_5315","23236"
"gun_4967","23214"
"gun_4999","23214"
"gun_5197","23214"
"gun_4933","23095"
"gun_2341","23088"
"gun_4021","23088"
"gun_4663","23088"
"gun_5021","23088"
"gun_2879","23079"
"gun_3109","23079"
"gun_3823","23079"
"gun_3847","23079"
"gun_4783","23079"
"gun_5077","23079"
"gun_2069","23068"
"gun_3911","23068"
"gun_4903","23068"
"gun_5101","23068"
"gun_2333","22940"
"gun_4957","22940"
"gun_3061","22932"
"gun_3989","22932"
"gun_4013","22932"
"gun_4751","22932"
"gun_2887","22922"
"gun_2903","22922"
"gun_3863","22922"
"gun_4871","22922"
"gun_9973","22820"
"gun_2239","22797"
"gun_4861","22792"
"gun_7643","22792"
"gun_2197","22785"
"gun_3727","22785"
"gun_2029","22776"
"gun_4973","22776"
"gun_3853","22644"
"gun_3877","22644"
"gun_2767","22638"
"gun_3833","22638"
"gun_3917","22638"
"gun_4591","22638"
"gun_3037","22630"
"gun_3767","22630"
"gun_4909","22630"
"gun_2309","22496"
"gun_4733","22496"
"gun_4789","22491"
"gun_1997","22484"
"gun_2791","22484"
"gun_3719","22484"
"gun_4679","22484"
"gun_4877","22484"
"gun_3797","22344"
"gun_3821","22344"
"gun_2957","22338"
"gun_3671","22338"
"gun_4583","22338"
"gun_4813","22338"
"gun_19","22275"
"gun_2293","22200"
"gun_5107","22200"
"gun_2207","22197"
"gun_2917","22197"
"gun_1973","22192"
"gun_7603","22052"
"gun_1949","22046"
"gun_2909","22046"
"gun_2837","21903"
"gun_1933","21900"
"gun_2861","21900"
"gun_5099","21896"
"gun_1849","21870"
"gun_2269","21756"
"gun_1787","21646"
"gun_1907","21516"
"gun_3793","21158"
"gun_1913","21098"
"gun_2143","21021"
"gun_1901","20880"
"gun_1867","20825"
"gun_1783","20776"
"gun_8783","20724"
"gun_5207","20700"
