"apgcode","occurrences"
"guntrue_5059","14148"
"guntrue_5851","14148"
"guntrue_7703","14148"
"guntrue_7993","14148"
"guntrue_8429","14148"
"guntrue_8693","14148"
"guntrue_3181","14124"
"guntrue_4349","14124"
"guntrue_4877","14124"
"guntrue_5099","14124"
"guntrue_2903","14112"
"guntrue_2909","14112"
"guntrue_2939","14112"
"guntrue_6871","14112"
"guntrue_6983","14112"
"guntrue_7013","14112"
"guntrue_7039","14112"
"guntrue_7069","14112"
"guntrue_7109","14112"
"guntrue_7121","14112"
"guntrue_7151","14112"
"guntrue_7177","14112"
"guntrue_7187","14112"
"guntrue_9377","14112"
"guntrue_9391","14112"
"guntrue_9431","14112"
"guntrue_9511","14112"
"guntrue_9551","14112"
"guntrue_9631","14112"
"guntrue_9697","14112"
"guntrue_9739","14112"
"guntrue_4553","14097"
"guntrue_4583","14097"
"guntrue_4621","14097"
"guntrue_4637","14097"
"guntrue_4643","14097"
"guntrue_6257","14097"
"guntrue_6301","14097"
"guntrue_6337","14097"
"guntrue_6353","14097"
"guntrue_6379","14097"
"guntrue_4547","14080"
"guntrue_5009","14080"
"guntrue_6659","14080"
"guntrue_3229","14070"
"guntrue_6829","14070"
"guntrue_3253","14040"
"guntrue_4261","14040"
"guntrue_5011","14040"
"guntrue_5669","14040"
"guntrue_6373","14040"
"guntrue_8053","14040"
"guntrue_8581","14040"
"guntrue_3673","13992"
"guntrue_7927","13992"
"guntrue_9013","13992"
"guntrue_6551","13986"
"guntrue_8999","13986"
"guntrue_9103","13986"
"guntrue_5531","13970"
"guntrue_7529","13970"
"guntrue_2131","13952"
"guntrue_6803","13952"
"guntrue_7681","13952"
"guntrue_9043","13952"
"guntrue_1861","13950"
"guntrue_3221","13936"
"guntrue_9221","13936"
"guntrue_1873","13923"
"guntrue_2411","13920"
"guntrue_2441","13920"
"guntrue_3617","13910"
"guntrue_4253","13910"
"guntrue_5003","13910"
"guntrue_5843","13910"
"guntrue_1783","13888"
"guntrue_2087","13875"
"guntrue_2879","13875"
"guntrue_6863","13875"
"guntrue_6949","13875"
"guntrue_6961","13875"
"guntrue_6971","13875"
"guntrue_6977","13875"
"guntrue_7001","13875"
"guntrue_7027","13875"
"guntrue_7057","13875"
"guntrue_9343","13875"
"guntrue_9397","13875"
"guntrue_9463","13875"
"guntrue_9587","13875"
"guntrue_9623","13875"
"guntrue_9689","13875"
"guntrue_2029","13860"
"guntrue_4481","13860"
"guntrue_4507","13860"
"guntrue_4513","13860"
"guntrue_4591","13860"
"guntrue_4597","13860"
"guntrue_4603","13860"
"guntrue_6053","13860"
"guntrue_6101","13860"
"guntrue_6131","13860"
"guntrue_6143","13860"
"guntrue_6197","13860"
"guntrue_6271","13860"
"guntrue_6323","13860"
"guntrue_6329","13860"
"guntrue_4373","13832"
"guntrue_9109","13832"
"guntrue_3733","13824"
"guntrue_3797","13824"
"guntrue_4933","13824"
"guntrue_5077","13824"
"guntrue_5683","13824"
"guntrue_7753","13824"
"guntrue_3701","13803"
"guntrue_5717","13803"
"guntrue_8573","13803"
"guntrue_3109","13780"
"guntrue_4813","13780"
